punct_id,time_id ,airline_id,airport_id ,ratings_id,area_id,num_of_flights,num_of_flights_cancelled,avg_early_on_time_flights,avg_cancelled_flights,total_minutes_delayed,min_delays_minutes,max_delays_minutes,avg_delays_minutes
AP0021,202301,AL149,BHD,RT04,NI01,495,93,20.07,38.42,158.40,0.00,41.02,14.40
AP0022,202301,AL194,BHD,RT03,NI01,44,0,20.45,0.00,8.34,8.34,8.34,8.34
AP0023,202301,AL203,BHD,RT03,NI01,124,2,55.04,2.08,25.28,0.00,14.85,6.32
AP0024,202301,AL221,BHD,RT03,NI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0025,202301,AL039,BFS,RT01,NI02,2,0,100.00,0.00,0.00,0.00,0.00,0.00
AP0026,202301,AL083,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0027,202301,AL115,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0028,202301,AL118,BFS,RT03,NI02,2136,0,49.41,0.00,177.98,0.00,19.43,7.74
AP0029,202301,AL124,BFS,RT03,NI02,1,0,0.00,0.00,5.00,5.00,5.00,5.00
AP0030,202301,AL131,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0031,202301,AL149,BFS,RT04,NI02,0,1,0.00,100.00,0.00,0.00,0.00,0.00
AP0032,202301,AL183,BFS,RT03,NI02,154,0,30.99,0.00,118.46,0.72,41.00,13.16
AP0033,202301,AL203,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0034,202301,AL204,BFS,RT04,NI02,2,0,0.00,0.00,29.50,29.50,29.50,29.50
AP0035,202301,AL248,BFS,RT03,NI02,1,0,0.00,0.00,11.00,11.00,11.00,11.00
AP0036,202301,AL271,BFS,RT04,NI02,1,0,0.00,0.00,102.00,102.00,102.00,102.00
AP0037,202301,AL296,BFS,RT03,NI02,2,0,33.33,0.00,22.00,0.00,22.00,7.33
AP0038,202301,AL318,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0039,202301,AL326,BFS,RT03,NI02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0040,202301,AL008,BHX,RT02,WM01,201,0,76.50,0.00,6.15,0.00,6.15,3.08
AP0041,202301,AL032,BHX,RT03,WM01,174,0,37.93,0.00,8.03,8.03,8.03,8.03
AP0042,202301,AL035,BHX,RT03,WM01,52,1,45.30,1.85,19.23,8.46,10.77,9.62
AP0043,202301,AL049,BHX,RT04,WM01,1,0,0.00,0.00,24.00,24.00,24.00,24.00
AP0044,202301,AL064,BHX,RT03,WM01,52,2,46.30,3.70,9.87,9.87,9.87,9.87
AP0045,202301,AL066,BHX,RT04,WM01,1,0,0.00,0.00,17.00,17.00,17.00,17.00
AP0046,202301,AL078,BHX,RT03,WM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0047,202301,AL079,BHX,RT02,WM01,46,0,54.35,0.00,3.52,3.52,3.52,3.52
AP0048,202301,AL083,BHX,RT03,WM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0049,202301,AL084,BHX,RT03,WM01,67,1,48.53,1.47,6.21,6.21,6.21,6.21
AP0050,202301,AL116,BHX,RT03,WM01,56,0,25.63,0.00,18.56,5.00,13.56,9.28
AP0051,202301,AL117,BHX,RT04,WM01,68,0,38.24,0.00,22.76,22.76,22.76,22.76
AP0052,202301,AL118,BHX,RT03,WM01,474,0,27.13,0.00,41.93,0.00,16.09,6.99
AP0053,202301,AL126,BHX,RT03,WM01,125,0,14.40,0.00,12.38,12.38,12.38,12.38
AP0054,202301,AL127,BHX,RT03,WM01,3,0,0.00,0.00,41.67,0.00,41.67,13.89
AP0055,202301,AL130,BHX,RT04,WM01,2,0,0.00,0.00,46.00,6.00,40.00,23.00
AP0056,202301,AL135,BHX,RT03,WM01,56,2,23.28,1.72,4.59,0.00,4.59,2.29
AP0057,202301,AL149,BHX,RT04,WM01,361,95,36.13,20.81,60.77,3.30,24.36,12.15
AP0058,202301,AL183,BHX,RT03,WM01,546,0,21.14,0.00,257.77,0.00,47.78,8.06
AP0059,202301,AL189,BHX,RT03,WM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0060,202301,AL194,BHX,RT03,WM01,168,0,41.67,0.00,8.55,8.55,8.55,8.55
AP0061,202301,AL203,BHX,RT03,WM01,198,0,35.47,0.00,35.88,0.00,16.13,8.97
AP0062,202301,AL206,BHX,RT03,WM01,269,4,32.58,1.34,16.98,8.06,8.92,8.49
AP0063,202301,AL241,BHX,RT04,WM01,2,0,0.00,0.00,109.00,33.00,76.00,54.50
AP0064,202301,AL248,BHX,RT04,WM01,1181,2,32.11,0.27,691.65,0.00,96.00,16.87
AP0065,202301,AL251,BHX,RT03,WM01,39,1,25.00,2.50,9.51,9.51,9.51,9.51
AP0066,202301,AL270,BHX,RT03,WM01,283,6,38.32,1.42,25.51,4.46,21.05,12.75
AP0067,202301,AL274,BHX,RT04,WM01,2,0,0.00,0.00,56.00,56.00,56.00,56.00
AP0068,202301,AL279,BHX,RT03,WM01,40,0,25.00,0.00,11.68,11.68,11.68,11.68
AP0069,202301,AL287,BHX,RT04,WM01,88,0,17.82,0.00,177.82,11.82,166.00,88.91
AP0070,202301,AL290,BHX,RT02,WM01,2,0,50.00,0.00,2.00,2.00,2.00,2.00
AP0071,202301,AL296,BHX,RT04,WM01,303,0,12.64,0.00,764.25,0.00,112.05,24.65
AP0072,202301,AL318,BHX,RT03,WM01,54,2,37.05,3.85,16.18,6.10,10.08,8.09
AP0073,202301,AL326,BHX,RT03,WM01,150,0,17.17,0.00,111.45,0.00,28.60,12.38
AP0074,202301,AL079,BOH,RT03,SW01,2,0,0.00,0.00,4.00,4.00,4.00,4.00
AP0075,202301,AL115,BOH,RT03,SW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0076,202301,AL117,BOH,RT03,SW01,26,0,53.85,0.00,7.88,7.88,7.88,7.88
AP0077,202301,AL118,BOH,RT04,SW01,16,0,0.00,0.00,31.63,31.63,31.63,31.63
AP0078,202301,AL127,BOH,RT03,SW01,1,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0079,202301,AL155,BOH,RT03,SW01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0080,202301,AL203,BOH,RT03,SW01,2,0,25.00,0.00,9.00,0.00,9.00,4.50
AP0081,202301,AL248,BOH,RT03,SW01,173,0,30.64,0.00,144.90,0.00,34.40,11.15
AP0082,202301,AL296,BOH,RT04,SW01,49,0,23.89,0.00,99.38,2.89,68.67,24.84
AP0083,202301,AL039,BRS,RT03,SW02,4,0,25.00,0.00,17.50,2.50,15.00,8.75
AP0084,202301,AL064,BRS,RT03,SW02,35,1,5.71,1.43,22.97,5.00,17.97,11.49
AP0085,202301,AL079,BRS,RT03,SW02,46,0,36.96,0.00,4.28,4.28,4.28,4.28
AP0086,202301,AL116,BRS,RT03,SW02,10,0,41.67,0.00,24.75,0.00,24.75,8.25
AP0087,202301,AL118,BRS,RT03,SW02,1865,5,41.64,0.46,505.10,0.00,45.44,10.10
AP0088,202301,AL127,BRS,RT03,SW02,2,0,0.00,0.00,6.50,6.50,6.50,6.50
AP0089,202301,AL135,BRS,RT03,SW02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0090,202301,AL183,BRS,RT04,SW02,171,0,19.36,0.00,589.38,0.00,348.75,31.02
AP0091,202301,AL194,BRS,RT03,SW02,159,0,50.94,0.00,5.21,5.21,5.21,5.21
AP0092,202301,AL203,BRS,RT03,SW02,46,0,13.04,0.00,16.48,0.00,16.48,5.49
AP0093,202301,AL206,BRS,RT03,SW02,44,0,40.91,0.00,6.64,6.64,6.64,6.64
AP0094,202301,AL248,BRS,RT04,SW02,837,0,28.79,0.00,628.84,0.00,74.00,19.06
AP0095,202301,AL270,BRS,RT03,SW02,144,0,23.96,0.00,8.64,0.00,8.64,4.32
AP0096,202301,AL296,BRS,RT03,SW02,119,0,18.21,0.00,201.09,0.00,53.50,9.58
AP0097,202301,AL326,BRS,RT03,SW02,17,0,6.25,0.00,16.25,4.00,12.25,8.13
AP0098,202301,AL330,BRS,RT04,SW02,1,0,0.00,0.00,33.00,33.00,33.00,33.00
AP0099,202301,AL002,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0100,202301,AL008,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0101,202301,AL039,CWL,RT03,WA01,1,0,0.00,0.00,10.00,10.00,10.00,10.00
AP0102,202301,AL066,CWL,RT03,WA01,3,1,50.00,25.00,1.50,0.00,1.50,0.75
AP0103,202301,AL071,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0104,202301,AL079,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0105,202301,AL090,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0106,202301,AL115,CWL,RT03,WA01,5,0,5.00,0.00,47.50,0.00,30.00,4.75
AP0107,202301,AL118,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0108,202301,AL124,CWL,RT02,WA01,46,0,52.17,0.00,4.02,4.02,4.02,4.02
AP0109,202301,AL127,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0110,202301,AL128,CWL,RT03,WA01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0111,202301,AL183,CWL,RT03,WA01,1,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0112,202301,AL194,CWL,RT02,WA01,114,0,53.91,0.00,4.02,4.02,4.02,4.02
AP0113,202301,AL203,CWL,RT03,WA01,42,0,36.84,0.00,59.50,0.00,32.50,11.90
AP0114,202301,AL248,CWL,RT03,WA01,56,0,7.41,0.00,32.64,0.00,14.50,5.44
AP0115,202301,AL296,CWL,RT03,WA01,56,1,17.12,1.39,92.11,0.00,55.00,10.23
AP0116,202301,AL318,CWL,RT03,WA01,37,0,19.25,0.00,28.10,0.00,18.36,9.37
AP0117,202301,AL326,CWL,RT04,WA01,28,2,9.82,6.25,35.57,5.00,30.57,17.79
AP0118,202301,AL002,DSA,RT03,YH01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0119,202301,AL089,DSA,RT03,YH01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0120,202301,AL296,DSA,RT03,YH01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0121,202301,AL326,DSA,RT03,YH01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0122,202301,AL328,DSA,RT03,YH01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0123,202301,AL064,EMA,RT04,EM01,4,0,0.00,0.00,24.25,24.25,24.25,24.25
AP0124,202301,AL079,EMA,RT03,EM01,28,0,15.38,0.00,27.54,9.50,18.04,13.77
AP0125,202301,AL118,EMA,RT03,EM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0126,202301,AL127,EMA,RT03,EM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0127,202301,AL149,EMA,RT04,EM01,94,12,43.10,11.48,26.23,11.37,14.86,13.12
AP0128,202301,AL183,EMA,RT03,EM01,251,0,37.00,0.00,82.61,0.00,17.63,5.90
AP0129,202301,AL194,EMA,RT03,EM01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0130,202301,AL248,EMA,RT03,EM01,537,4,25.90,0.76,365.62,0.00,35.00,14.06
AP0131,202301,AL296,EMA,RT03,EM01,67,0,11.83,0.00,132.14,0.00,49.38,13.21
AP0132,202301,AL007,EDI,RT03,SC02,20,0,15.00,0.00,11.35,11.35,11.35,11.35
AP0133,202301,AL008,EDI,RT03,SC02,386,1,49.12,0.21,17.36,4.35,13.01,8.68
AP0134,202301,AL032,EDI,RT03,SC02,128,0,28.13,0.00,10.51,10.51,10.51,10.51
AP0135,202301,AL062,EDI,RT02,SC02,2,0,50.00,0.00,0.00,0.00,0.00,0.00
AP0136,202301,AL064,EDI,RT04,SC02,2,0,0.00,0.00,24.00,24.00,24.00,24.00
AP0137,202301,AL071,EDI,RT04,SC02,475,1,41.78,0.07,51.37,5.12,23.25,17.12
AP0138,202301,AL083,EDI,RT04,SC02,586,16,31.89,2.66,18.08,18.08,18.08,18.08
AP0139,202301,AL084,EDI,RT03,SC02,36,0,58.33,0.00,5.36,5.36,5.36,5.36
AP0140,202301,AL111,EDI,RT04,SC02,44,3,25.53,6.38,44.89,44.89,44.89,44.89
AP0141,202301,AL115,EDI,RT03,SC02,1,0,0.00,0.00,27.00,0.00,27.00,13.50
AP0142,202301,AL116,EDI,RT03,SC02,88,0,17.81,0.00,41.72,0.00,24.50,8.34
AP0143,202301,AL117,EDI,RT03,SC02,22,0,27.27,0.00,10.27,10.27,10.27,10.27
AP0144,202301,AL118,EDI,RT03,SC02,1618,0,44.61,0.00,191.76,0.22,20.62,7.38
AP0145,202301,AL119,EDI,RT04,SC02,13,5,5.56,27.78,41.69,41.69,41.69,41.69
AP0146,202301,AL135,EDI,RT02,SC02,8,0,50.00,0.00,3.75,3.75,3.75,3.75
AP0147,202301,AL142,EDI,RT03,SC02,36,0,30.56,0.00,6.56,6.56,6.56,6.56
AP0148,202301,AL149,EDI,RT04,SC02,144,12,43.07,8.94,28.29,4.03,24.26,14.15
AP0149,202301,AL183,EDI,RT03,SC02,216,0,30.14,0.00,147.17,0.00,27.88,9.81
AP0150,202301,AL194,EDI,RT03,SC02,167,0,47.90,0.00,8.92,8.92,8.92,8.92
AP0151,202301,AL203,EDI,RT04,SC02,470,19,20.23,13.18,194.68,0.00,36.44,11.45
AP0152,202301,AL206,EDI,RT03,SC02,96,0,29.17,0.00,9.85,9.85,9.85,9.85
AP0153,202301,AL224,EDI,RT04,SC02,8,0,0.00,0.00,50.75,17.50,33.25,25.38
AP0154,202301,AL225,EDI,RT03,SC02,49,0,38.78,0.00,11.24,11.24,11.24,11.24
AP0155,202301,AL241,EDI,RT03,SC02,62,0,37.10,0.00,8.94,8.94,8.94,8.94
AP0156,202301,AL248,EDI,RT04,SC02,1879,7,37.58,0.32,940.87,0.00,233.81,16.80
AP0157,202301,AL250,EDI,RT03,SC02,139,0,36.50,0.00,28.40,12.34,16.06,14.20
AP0158,202301,AL251,EDI,RT03,SC02,18,0,44.44,0.00,8.89,8.89,8.89,8.89
AP0159,202301,AL274,EDI,RT03,SC02,2,0,0.00,0.00,9.00,9.00,9.00,9.00
AP0160,202301,AL287,EDI,RT03,SC02,62,0,35.48,0.00,11.29,11.29,11.29,11.29
AP0161,202301,AL293,EDI,RT03,SC02,6,0,33.33,0.00,6.50,6.50,6.50,6.50
AP0162,202301,AL296,EDI,RT04,SC02,31,0,5.71,0.00,230.68,0.00,91.13,46.14
AP0163,202301,AL306,EDI,RT04,SC02,62,1,16.94,0.81,274.93,14.93,260.00,137.47
AP0164,202301,AL312,EDI,RT03,SC02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0165,202301,AL318,EDI,RT03,SC02,18,0,19.44,0.00,10.67,0.00,10.67,5.33
AP0166,202301,AL326,EDI,RT04,SC02,67,0,26.81,0.00,70.29,6.69,31.06,17.57
AP0167,202301,AL064,EXT,RT04,SW03,33,0,16.23,0.00,46.14,17.45,28.69,23.07
AP0168,202301,AL071,EXT,RT03,SW03,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0169,202301,AL079,EXT,RT03,SW03,39,0,25.64,0.00,12.13,0.00,12.13,6.06
AP0170,202301,AL115,EXT,RT02,SW03,1,0,50.00,0.00,0.00,0.00,0.00,0.00
AP0171,202301,AL124,EXT,RT03,SW03,71,0,48.68,0.00,16.33,1.06,15.27,8.16
AP0172,202301,AL127,EXT,RT04,SW03,2,0,0.00,0.00,114.00,114.00,114.00,114.00
AP0173,202301,AL203,EXT,RT03,SW03,79,0,25.22,0.00,46.85,0.00,33.61,7.81
AP0174,202301,AL248,EXT,RT04,SW03,18,0,21.25,0.00,38.95,4.20,34.75,19.48
AP0175,202301,AL296,EXT,RT04,SW03,48,0,25.53,0.00,97.18,0.00,54.63,19.44
AP0176,202301,AL330,EXT,RT03,SW03,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0177,202301,AL007,GW,RT03,SE01,12,0,33.33,0.00,0.58,0.58,0.58,0.58
AP0178,202301,AL008,GW,RT03,SE01,292,0,35.64,0.00,19.85,4.42,15.44,9.93
AP0179,202301,AL021,GW,RT03,SE01,26,0,19.23,0.00,13.00,13.00,13.00,13.00
AP0180,202301,AL022,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0181,202301,AL024,GW,RT04,SE01,104,0,32.37,0.00,35.71,15.91,19.80,17.86
AP0182,202301,AL031,GW,RT03,SE01,124,0,46.77,0.00,5.70,5.70,5.70,5.70
AP0183,202301,AL036,GW,RT03,SE01,40,2,21.43,4.76,12.98,12.98,12.98,12.98
AP0184,202301,AL042,GW,RT04,SE01,209,2,23.66,0.95,34.38,16.10,18.27,17.19
AP0185,202301,AL044,GW,RT03,SE01,88,0,27.17,0.00,28.38,7.46,20.92,14.19
AP0186,202301,AL064,GW,RT03,SE01,349,3,51.14,0.85,11.88,11.88,11.88,11.88
AP0187,202301,AL072,GW,RT04,SE01,40,0,25.25,0.00,202.36,0.50,76.00,20.24
AP0188,202301,AL074,GW,RT03,SE01,18,0,22.50,0.00,24.53,8.90,15.63,12.26
AP0189,202301,AL083,GW,RT04,SE01,2157,11,27.90,2.38,821.82,0.00,135.92,17.49
AP0190,202301,AL093,GW,RT04,SE01,0,2,0.00,100.00,0.00,0.00,0.00,0.00
AP0191,202301,AL102,GW,RT03,SE01,1,0,0.00,0.00,13.00,13.00,13.00,13.00
AP0192,202301,AL115,GW,RT03,SE01,140,6,25.00,2.08,13.78,0.00,13.78,6.89
AP0193,202301,AL116,GW,RT04,SE01,0,3,0.00,100.00,0.00,0.00,0.00,0.00
AP0194,202301,AL118,GW,RT03,SE01,6309,16,40.52,0.37,696.55,0.00,33.27,8.49
AP0195,202301,AL126,GW,RT04,SE01,186,0,29.03,0.00,15.81,15.81,15.81,15.81
AP0196,202301,AL127,GW,RT04,SE01,7,0,25.00,0.00,65.50,2.50,63.00,32.75
AP0197,202301,AL135,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0198,202301,AL140,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0199,202301,AL172,GW,RT03,SE01,98,0,37.76,0.00,7.63,7.63,7.63,7.63
AP0200,202301,AL173,GW,RT04,SE01,56,6,43.55,9.68,7.64,7.64,7.64,7.64
AP0201,202301,AL176,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0202,202301,AL183,GW,RT04,SE01,68,0,24.63,0.00,182.24,0.00,64.63,18.22
AP0203,202301,AL185,GW,RT03,SE01,184,2,37.90,1.61,8.18,3.43,4.74,4.09
AP0204,202301,AL190,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0205,202301,AL195,GW,RT03,SE01,1,0,0.00,0.00,1.00,1.00,1.00,1.00
AP0206,202301,AL201,GW,RT02,SE01,2,0,50.00,0.00,2.00,2.00,2.00,2.00
AP0207,202301,AL203,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0208,202301,AL221,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0209,202301,AL222,GW,RT04,SE01,124,0,26.61,0.00,31.65,9.63,22.02,15.82
AP0210,202301,AL224,GW,RT03,SE01,408,0,49.84,0.00,18.56,3.75,9.34,6.19
AP0211,202301,AL225,GW,RT03,SE01,334,0,45.41,0.00,43.00,4.80,15.33,8.60
AP0212,202301,AL227,GW,RT04,SE01,18,0,16.67,0.00,19.56,19.56,19.56,19.56
AP0213,202301,AL241,GW,RT03,SE01,62,0,40.32,0.00,7.27,7.27,7.27,7.27
AP0214,202301,AL244,GW,RT04,SE01,50,0,28.00,0.00,15.70,15.70,15.70,15.70
AP0215,202301,AL248,GW,RT03,SE01,651,0,39.13,0.00,53.12,0.00,23.79,8.85
AP0216,202301,AL256,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0217,202301,AL274,GW,RT04,SE01,13,0,46.15,0.00,21.23,21.23,21.23,21.23
AP0218,202301,AL279,GW,RT02,SE01,35,0,62.86,0.00,2.09,2.09,2.09,2.09
AP0219,202301,AL287,GW,RT03,SE01,164,0,29.27,0.00,14.25,14.25,14.25,14.25
AP0220,202301,AL290,GW,RT04,SE01,75,0,9.64,0.00,340.01,0.00,102.50,24.29
AP0221,202301,AL296,GW,RT04,SE01,601,5,14.76,3.00,802.06,0.00,71.74,18.23
AP0222,202301,AL301,GW,RT04,SE01,8,0,0.00,0.00,31.63,31.63,31.63,31.63
AP0223,202301,AL304,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0224,202301,AL318,GW,RT03,SE01,1126,5,40.89,0.62,163.04,0.46,25.50,9.06
AP0225,202301,AL321,GW,RT03,SE01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0226,202301,AL326,GW,RT03,SE01,514,2,22.67,0.15,144.76,0.00,31.12,10.34
AP0227,202301,AL328,GW,RT04,SE01,544,2,18.86,0.33,289.84,3.45,39.50,19.32
AP0228,202301,AL008,GLA,RT03,SC03,323,0,41.57,0.00,14.27,6.72,7.55,7.14
AP0229,202301,AL044,GLA,RT03,SC03,12,0,25.00,0.00,12.50,12.50,12.50,12.50
AP0230,202301,AL071,GLA,RT03,SC03,211,0,32.23,0.00,3.84,0.00,3.84,1.92
AP0231,202301,AL079,GLA,RT03,SC03,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0232,202301,AL083,GLA,RT04,SC03,526,13,32.90,33.90,15.71,0.00,13.76,5.24
AP0233,202301,AL118,GLA,RT03,SC03,990,0,43.43,0.00,163.09,0.00,27.00,8.58
AP0234,202301,AL126,GLA,RT03,SC03,62,0,27.42,0.00,9.39,9.39,9.39,9.39
AP0235,202301,AL149,GLA,RT03,SC03,92,4,66.67,4.17,6.98,6.98,6.98,6.98
AP0236,202301,AL173,GLA,RT04,SC03,38,4,45.24,9.52,6.95,6.95,6.95,6.95
AP0237,202301,AL183,GLA,RT03,SC03,279,0,37.43,0.00,68.28,0.00,16.00,5.25
AP0238,202301,AL194,GLA,RT02,SC03,101,0,57.43,0.00,4.50,4.50,4.50,4.50
AP0239,202301,AL195,GLA,RT03,SC03,67,0,44.78,0.00,6.52,6.52,6.52,6.52
AP0240,202301,AL203,GLA,RT04,SC03,824,107,32.95,6.83,217.19,0.00,39.18,12.78
AP0241,202301,AL206,GLA,RT03,SC03,81,1,42.68,1.22,8.43,8.43,8.43,8.43
AP0242,202301,AL225,GLA,RT03,SC03,1,0,0.00,0.00,10.00,10.00,10.00,10.00
AP0243,202301,AL248,GLA,RT03,SC03,254,0,31.03,0.00,55.44,0.00,13.00,9.24
AP0244,202301,AL290,GLA,RT01,SC03,1,0,100.00,0.00,0.00,0.00,0.00,0.00
AP0245,202301,AL296,GLA,RT04,SC03,89,0,15.26,0.00,377.87,0.00,106.33,31.49
AP0246,202301,AL306,GLA,RT04,SC03,0,1,0.00,100.00,0.00,0.00,0.00,0.00
AP0247,202301,AL318,GLA,RT03,SC03,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0248,202301,AL326,GLA,RT03,SC03,1,0,0.00,0.00,5.00,5.00,5.00,5.00
AP0249,202301,AL001,LHR,RT03,SE02,217,2,33.09,0.63,14.26,4.19,5.08,4.75
AP0250,202301,AL007,LHR,RT03,SE02,178,0,35.96,0.00,4.84,4.84,4.84,4.84
AP0251,202301,AL008,LHR,RT03,SE02,900,2,33.18,0.10,30.40,0.00,12.34,7.60
AP0252,202301,AL011,LHR,RT03,SE02,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0253,202301,AL012,LHR,RT04,SE02,14,0,5.00,0.00,119.65,27.40,92.25,59.83
AP0254,202301,AL014,LHR,RT04,SE02,62,0,40.32,0.00,20.24,20.24,20.24,20.24
AP0255,202301,AL018,LHR,RT04,SE02,46,0,19.57,0.00,24.24,24.24,24.24,24.24
AP0256,202301,AL023,LHR,RT03,SE02,26,0,15.38,0.00,22.77,0.00,22.77,11.38
AP0257,202301,AL027,LHR,RT04,SE02,495,0,18.97,0.00,111.52,8.24,30.15,15.93
AP0258,202301,AL029,LHR,RT04,SE02,18,10,5.90,36.11,40.90,0.00,26.50,10.23
AP0259,202301,AL032,LHR,RT03,SE02,392,3,27.02,0.45,24.47,9.68,14.79,12.24
AP0260,202301,AL035,LHR,RT03,SE02,382,0,18.76,0.00,111.49,0.00,24.26,11.15
AP0261,202301,AL036,LHR,RT04,SE02,118,0,24.58,0.00,22.71,22.71,22.71,22.71
AP0262,202301,AL037,LHR,RT04,SE02,44,0,25.00,0.00,35.61,35.61,35.61,35.61
AP0263,202301,AL042,LHR,RT03,SE02,332,0,34.94,0.00,12.16,12.16,12.16,12.16
AP0264,202301,AL043,LHR,RT04,SE02,58,0,20.69,0.00,26.71,26.71,26.71,26.71
AP0265,202301,AL054,LHR,RT03,SE02,62,0,27.42,0.00,3.53,3.53,3.53,3.53
